LoyaltyId,PurchaseId,ProductId,PurchasedOn,TotalPrice,RewardPointsAdded,ActivityTypeDisplay,Subject,Location
LOYID_1008,PID_1035,302,10/29/2018,43,36,POS Purchase,Purchased a product In-Store,Nicaragua
LOYID_1008,PID_1036,34,12/27/2018,33,25,POS Purchase,Purchased a product In-Store,"Bonaire, Sint Eustatius and Saba"
LOYID_1008,PID_1037,335,1/18/2019,149,46,POS Purchase,Purchased a product In-Store,Philippines
LOYID_1008,PID_1038,P-01033-H3X3W9,2/6/2019,94,45,POS Purchase,Purchased a product In-Store,Montserrat
LOYID_1008,PID_1039,CMPNTTrunkServoMotorWizard,2/6/2019,148,32,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1009,PID_1040,120,4/12/2017,34,37,POS Purchase,Purchased a product In-Store,Saint Pierre and Miquelon
LOYID_1009,PID_1041,P-01025-Q6B9R7,10/20/2017,171,44,POS Purchase,Purchased a product In-Store,Heard Island and Mcdonald Islands
LOYID_1009,PID_1042,405,1/13/2019,170,43,POS Purchase,Purchased a product In-Store,Nepal
LOYID_1010,PID_1043,44,6/23/2018,72,33,POS Purchase,Purchased a product In-Store,Armenia
LOYID_1010,PID_1044,607,11/25/2018,124,47,POS Purchase,Purchased a product In-Store,"Virgin Islands, British"
LOYID_1010,PID_1045,5637146300,1/31/2019,35,27,POS Purchase,Purchased a product In-Store,Yemen
LOYID_1011,PID_1046,510,6/9/2018,58,48,POS Purchase,Purchased a product In-Store,Andorra
LOYID_1011,PID_1047,525,12/28/2018,75,27,POS Purchase,Purchased a product In-Store,Lebanon
LOYID_1011,PID_1048,CMPNTArmServoMotorWizard,1/16/2019,41,41,POS Purchase,Purchased a product In-Store,Viet Nam
LOYID_1012,PID_1049,P-01011-Z4D0X9,4/6/2017,78,45,POS Purchase,Purchased a product In-Store,Morocco
LOYID_1012,PID_1050,622,8/20/2017,54,42,POS Purchase,Purchased a product In-Store,Bulgaria
LOYID_1012,PID_1051,P-01005-Q0Y9P4,9/12/2018,48,27,POS Purchase,Purchased a product In-Store,Georgia
LOYID_1012,PID_1052,594,11/29/2018,172,23,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1013,PID_1053,5637146276,1/10/2019,53,30,POS Purchase,Purchased a product In-Store,China
LOYID_1013,PID_1054,152,1/25/2019,185,26,POS Purchase,Purchased a product In-Store,Chad
LOYID_1013,PID_1055,Office 365 for Midsize Business (sample),1/29/2019,180,27,POS Purchase,Purchased a product In-Store,"Virgin Islands, British"
LOYID_1013,PID_1056,651,1/30/2019,175,48,POS Purchase,Purchased a product In-Store,Bolivia
LOYID_1014,PID_1057,160,7/30/2017,176,24,POS Purchase,Purchased a product In-Store,Finland
LOYID_1014,PID_1058,55,10/3/2018,91,29,POS Purchase,Purchased a product In-Store,Mexico
LOYID_1014,PID_1059,Office 365 and CRM Online: Small Business (sample),12/21/2018,47,39,POS Purchase,Purchased a product In-Store,USA
LOYID_1014,PID_1060,535,1/19/2019,86,20,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1015,PID_1061,135,11/7/2018,109,30,POS Purchase,Purchased a product In-Store,USA
LOYID_1015,PID_1062,464,11/27/2018,90,20,POS Purchase,Purchased a product In-Store,Liberia
LOYID_1015,PID_1063,401,1/10/2019,147,43,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1015,PID_1064,5,1/21/2019,119,23,POS Purchase,Purchased a product In-Store,Laos
LOYID_1016,PID_1065,P-01033-H3X3W9,7/21/2018,105,36,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1016,PID_1066,156,11/9/2018,160,48,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1016,PID_1067,387,1/4/2019,124,26,POS Purchase,Purchased a product In-Store,Samoa
LOYID_1016,PID_1068,366,2/1/2019,78,21,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1017,PID_1069,547,1/29/2019,69,42,POS Purchase,Purchased a product In-Store,Afghanistan
LOYID_1017,PID_1070,308,1/29/2019,106,29,POS Purchase,Purchased a product In-Store,USA
LOYID_1017,PID_1071,314,2/5/2019,76,20,POS Purchase,Purchased a product In-Store,Papua New Guinea
LOYID_1017,PID_1072,431,2/6/2019,47,34,POS Purchase,Purchased a product In-Store,Chad
LOYID_1017,PID_1073,478,2/6/2019,174,41,POS Purchase,Purchased a product In-Store,Tonga
LOYID_1018,PID_1074,13,3/11/2017,80,26,POS Purchase,Purchased a product In-Store,"Virgin Islands, United States"
LOYID_1018,PID_1075,281,2/21/2018,93,32,POS Purchase,Purchased a product In-Store,Taiwan
LOYID_1018,PID_1076,291,6/26/2018,72,20,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1018,PID_1077,270,1/22/2019,57,24,POS Purchase,Purchased a product In-Store,Ecuador
LOYID_1018,PID_1078,624,1/22/2019,107,36,POS Purchase,Purchased a product In-Store,USA
LOYID_1019,PID_1079,295,5/18/2017,100,33,POS Purchase,Purchased a product In-Store,Saint Martin
LOYID_1019,PID_1080,414,5/27/2017,55,47,POS Purchase,Purchased a product In-Store,Somalia
LOYID_1019,PID_1081,5637146347,6/12/2017,195,48,POS Purchase,Purchased a product In-Store,Lithuania
LOYID_1019,PID_1082,627,12/21/2018,176,49,POS Purchase,Purchased a product In-Store,Jersey
LOYID_1019,PID_1083,453,2/5/2019,135,35,POS Purchase,Purchased a product In-Store,Cambodia
LOYID_1020,PID_1084,214,1/22/2017,75,24,POS Purchase,Purchased a product In-Store,Oman
LOYID_1020,PID_1085,580,10/8/2017,52,49,POS Purchase,Purchased a product In-Store,Guinea-Bissau
LOYID_1020,PID_1086,25,2/15/2018,52,46,POS Purchase,Purchased a product In-Store,Gabon
LOYID_1020,PID_1087,375,5/18/2018,146,40,POS Purchase,Purchased a product In-Store,Reunion
LOYID_1021,PID_1088,297,1/4/2019,67,49,POS Purchase,Purchased a product In-Store,Jersey
LOYID_1021,PID_1089,5637146345,1/21/2019,134,28,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1021,PID_1090,215,1/31/2019,101,38,POS Purchase,Purchased a product In-Store,Kazakhstan
LOYID_1021,PID_1091,507,2/1/2019,148,30,POS Purchase,Purchased a product In-Store,El Salvador
LOYID_1022,PID_1092,583,11/26/2018,54,34,POS Purchase,Purchased a product In-Store,Lesotho
LOYID_1022,PID_1093,378,12/23/2018,187,42,POS Purchase,Purchased a product In-Store,Aruba
LOYID_1022,PID_1094,479,1/13/2019,58,31,POS Purchase,Purchased a product In-Store,"Korea, South"
LOYID_1022,PID_1095,243,1/28/2019,143,28,POS Purchase,Purchased a product In-Store,Saint Lucia
LOYID_1022,PID_1096,41,2/6/2019,195,25,POS Purchase,Purchased a product In-Store,Hong Kong
LOYID_1023,PID_1097,SVCHRReplaceComponent,11/2/2018,168,35,POS Purchase,Purchased a product In-Store,Djibouti
LOYID_1023,PID_1098,CMPNTHardDrive,11/30/2018,126,43,POS Purchase,Purchased a product In-Store,Myanmar
LOYID_1023,PID_1099,230,1/4/2019,119,24,POS Purchase,Purchased a product In-Store,Armenia
LOYID_1023,PID_1100,5637146369,1/5/2019,82,47,POS Purchase,Purchased a product In-Store,Equatorial Guinea
LOYID_1023,PID_1101,234,1/29/2019,66,37,POS Purchase,Purchased a product In-Store,Guinea
LOYID_1024,PID_1102,5637146381,3/7/2018,174,46,POS Purchase,Purchased a product In-Store,Nepal
LOYID_1024,PID_1103,109,3/14/2018,151,20,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1024,PID_1104,438,6/22/2018,116,32,POS Purchase,Purchased a product In-Store,Guernsey
LOYID_1024,PID_1105,CMPNTArmServoMotorVirtuoso,12/18/2018,66,20,POS Purchase,Purchased a product In-Store,Bolivia
LOYID_1025,PID_1106,CMPNTAutonomousBaseVirtuoso,3/26/2018,88,27,POS Purchase,Purchased a product In-Store,"Virgin Islands, British"
LOYID_1025,PID_1107,P-01018-C2M5Y3,2/4/2019,39,37,POS Purchase,Purchased a product In-Store,Liberia
LOYID_1025,PID_1108,264,2/6/2019,79,41,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1025,PID_1109,85,2/6/2019,139,43,POS Purchase,Purchased a product In-Store,Uzbekistan
LOYID_1026,PID_1110,89,12/10/2018,171,22,POS Purchase,Purchased a product In-Store,Djibouti
LOYID_1026,PID_1111,5637146369,1/29/2019,36,27,POS Purchase,Purchased a product In-Store,Chile
LOYID_1026,PID_1112,198,2/2/2019,132,45,POS Purchase,Purchased a product In-Store,Indonesia
LOYID_1027,PID_1113,564,2/5/2019,114,37,POS Purchase,Purchased a product In-Store,Portugal
LOYID_1027,PID_1114,302,2/5/2019,65,47,POS Purchase,Purchased a product In-Store,Qatar
LOYID_1027,PID_1115,455,2/5/2019,57,44,POS Purchase,Purchased a product In-Store,"Virgin Islands, British"
LOYID_1028,PID_1116,453,12/10/2017,138,31,POS Purchase,Purchased a product In-Store,Morocco
LOYID_1028,PID_1117,673,6/29/2018,95,45,POS Purchase,Purchased a product In-Store,Oman
LOYID_1028,PID_1118,192,10/17/2018,129,35,POS Purchase,Purchased a product In-Store,Bolivia
LOYID_1029,PID_1119,P-01031-P6R0K9,4/11/2017,53,49,POS Purchase,Purchased a product In-Store,Chad
LOYID_1029,PID_1120,312,7/16/2017,172,35,POS Purchase,Purchased a product In-Store,USA
LOYID_1029,PID_1121,571,11/3/2018,36,34,POS Purchase,Purchased a product In-Store,Greece
LOYID_1029,PID_1122,5637146365,11/4/2018,71,38,POS Purchase,Purchased a product In-Store,USA
LOYID_1030,PID_1123,165,1/8/2018,125,22,POS Purchase,Purchased a product In-Store,Liberia
LOYID_1030,PID_1124,50,6/20/2018,71,35,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1030,PID_1125,423,9/9/2018,137,37,POS Purchase,Purchased a product In-Store,Chile
LOYID_1030,PID_1126,5637146438,12/20/2018,55,41,POS Purchase,Purchased a product In-Store,USA
LOYID_1030,PID_1127,632,1/17/2019,192,37,POS Purchase,Purchased a product In-Store,Panama
LOYID_1031,PID_1128,3,12/1/2017,95,43,POS Purchase,Purchased a product In-Store,Guinea-Bissau
LOYID_1031,PID_1129,5637146327,10/10/2018,166,46,POS Purchase,Purchased a product In-Store,Guadeloupe
LOYID_1031,PID_1130,336,1/3/2019,42,47,POS Purchase,Purchased a product In-Store,Gabon
LOYID_1031,PID_1131,361,1/18/2019,132,44,POS Purchase,Purchased a product In-Store,Turkey
LOYID_1032,PID_1132,5637146294,12/11/2018,111,30,POS Purchase,Purchased a product In-Store,India
LOYID_1032,PID_1133,62,1/27/2019,68,41,POS Purchase,Purchased a product In-Store,Djibouti
LOYID_1032,PID_1134,388,2/4/2019,159,25,POS Purchase,Purchased a product In-Store,Timor-Leste
LOYID_1032,PID_1135,615,2/4/2019,67,24,POS Purchase,Purchased a product In-Store,Mexico
LOYID_1033,PID_1136,345,12/27/2017,83,26,POS Purchase,Purchased a product In-Store,Hong Kong
LOYID_1033,PID_1137,413,3/3/2018,38,26,POS Purchase,Purchased a product In-Store,Reunion
LOYID_1033,PID_1138,9,4/27/2018,137,33,POS Purchase,Purchased a product In-Store,USA
LOYID_1033,PID_1139,336,4/29/2018,146,48,POS Purchase,Purchased a product In-Store,Georgia
LOYID_1034,PID_1140,229,5/28/2017,178,32,POS Purchase,Purchased a product In-Store,Lesotho
LOYID_1034,PID_1141,CMPNTCPUControllerMaestro,11/20/2018,87,28,POS Purchase,Purchased a product In-Store,Western Sahara
LOYID_1034,PID_1142,633,1/15/2019,36,45,POS Purchase,Purchased a product In-Store,USA
LOYID_1035,PID_1143,5637146336,5/26/2018,157,22,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1035,PID_1144,121,9/18/2018,133,27,POS Purchase,Purchased a product In-Store,"Virgin Islands, United States"
LOYID_1035,PID_1145,465,1/10/2019,108,49,POS Purchase,Purchased a product In-Store,Jakarta
LOYID_1035,PID_1146,71,1/13/2019,148,41,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1036,PID_1147,168,3/7/2017,158,34,POS Purchase,Purchased a product In-Store,Andorra
LOYID_1036,PID_1148,640,2/4/2019,156,34,POS Purchase,Purchased a product In-Store,Andorra
LOYID_1036,PID_1149,431,2/5/2019,163,44,POS Purchase,Purchased a product In-Store,USA
LOYID_1037,PID_1150,504,1/9/2019,33,31,POS Purchase,Purchased a product In-Store,Jakarta
LOYID_1037,PID_1151,570,1/14/2019,104,34,POS Purchase,Purchased a product In-Store,Mayotte
LOYID_1037,PID_1152,P-01027-N7Q9M1,2/3/2019,97,22,POS Purchase,Purchased a product In-Store,Heard Island and Mcdonald Islands
LOYID_1037,PID_1153,P-01015-Z8B5Q3,2/5/2019,64,49,POS Purchase,Purchased a product In-Store,Mauritius
LOYID_1037,PID_1154,225,2/5/2019,101,35,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1038,PID_1155,280,2/28/2017,80,42,POS Purchase,Purchased a product In-Store,Liberia
LOYID_1038,PID_1156,250,4/27/2017,106,34,POS Purchase,Purchased a product In-Store,Canada
LOYID_1038,PID_1157,653,11/22/2017,127,25,POS Purchase,Purchased a product In-Store,South Georgia and The South Sandwich Islands
LOYID_1038,PID_1158,287,2/16/2018,187,27,POS Purchase,Purchased a product In-Store,Finland
LOYID_1039,PID_1159,5637146427,10/31/2017,129,32,POS Purchase,Purchased a product In-Store,Namibia
LOYID_1039,PID_1160,495,4/7/2018,43,34,POS Purchase,Purchased a product In-Store,Chad
LOYID_1039,PID_1161,590,10/19/2018,100,23,POS Purchase,Purchased a product In-Store,Sao Tome and Principe
LOYID_1039,PID_1162,664,1/4/2019,62,35,POS Purchase,Purchased a product In-Store,Monaco
LOYID_1039,PID_1163,440,1/15/2019,80,37,POS Purchase,Purchased a product In-Store,Myanmar
LOYID_1040,PID_1164,518,11/3/2018,35,24,POS Purchase,Purchased a product In-Store,Taiwan
LOYID_1040,PID_1165,118,11/22/2018,109,24,POS Purchase,Purchased a product In-Store,Kenya
LOYID_1040,PID_1166,420,12/10/2018,91,43,POS Purchase,Purchased a product In-Store,Jakarta
LOYID_1041,PID_1167,586,9/17/2017,183,27,POS Purchase,Purchased a product In-Store,Belarus
LOYID_1041,PID_1168,36,6/9/2018,127,47,POS Purchase,Purchased a product In-Store,Tanzania
LOYID_1041,PID_1169,372,11/19/2018,92,48,POS Purchase,Purchased a product In-Store,Saint Pierre and Miquelon
LOYID_1042,PID_1170,503,8/24/2018,181,22,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1042,PID_1171,SVCHRInspectionLineIntegration,12/4/2018,192,41,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1042,PID_1172,383,12/4/2018,46,28,POS Purchase,Purchased a product In-Store,Djibouti
LOYID_1043,PID_1173,P-01000-D5D9C3,3/31/2018,172,43,POS Purchase,Purchased a product In-Store,Finland
LOYID_1043,PID_1174,168,9/19/2018,187,47,POS Purchase,Purchased a product In-Store,Myanmar
LOYID_1043,PID_1175,5637146365,2/1/2019,101,42,POS Purchase,Purchased a product In-Store,Guam
LOYID_1043,PID_1176,642,2/5/2019,88,25,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1044,PID_1177,535,8/29/2018,100,38,POS Purchase,Purchased a product In-Store,Saint Barthélemy
LOYID_1044,PID_1178,232,11/28/2018,68,47,POS Purchase,Purchased a product In-Store,Central African Republic
LOYID_1044,PID_1179,524,1/13/2019,34,36,POS Purchase,Purchased a product In-Store,India
LOYID_1044,PID_1180,523,1/30/2019,125,27,POS Purchase,Purchased a product In-Store,USA
LOYID_1044,PID_1181,205,1/31/2019,67,37,POS Purchase,Purchased a product In-Store,Bhutan
LOYID_1045,PID_1182,254,9/11/2018,177,22,POS Purchase,Purchased a product In-Store,Guadeloupe
LOYID_1045,PID_1183,591,1/25/2019,154,30,POS Purchase,Purchased a product In-Store,Svalbard and Jan Mayen Islands
LOYID_1045,PID_1184,316,1/25/2019,133,28,POS Purchase,Purchased a product In-Store,Rwanda
LOYID_1046,PID_1185,381,12/20/2017,78,22,POS Purchase,Purchased a product In-Store,Andorra
LOYID_1046,PID_1186,433,8/25/2018,110,20,POS Purchase,Purchased a product In-Store,Kenya
LOYID_1046,PID_1187,685,8/25/2018,107,25,POS Purchase,Purchased a product In-Store,Pakistan
LOYID_1047,PID_1188,642,7/31/2017,135,39,POS Purchase,Purchased a product In-Store,United States
LOYID_1047,PID_1189,654,5/21/2018,65,46,POS Purchase,Purchased a product In-Store,Mauritius
LOYID_1047,PID_1190,586,9/15/2018,59,32,POS Purchase,Purchased a product In-Store,USA
LOYID_1047,PID_1191,307,12/13/2018,125,41,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1048,PID_1192,619,4/25/2017,73,44,POS Purchase,Purchased a product In-Store,Cayman Islands
LOYID_1048,PID_1193,30,7/4/2017,118,36,POS Purchase,Purchased a product In-Store,Taiwan
LOYID_1048,PID_1194,299,7/24/2018,147,35,POS Purchase,Purchased a product In-Store,Nicaragua
LOYID_1049,PID_1195,586,7/3/2017,123,43,POS Purchase,Purchased a product In-Store,Lithuania
LOYID_1049,PID_1196,23,5/10/2018,175,20,POS Purchase,Purchased a product In-Store,Ethiopia
LOYID_1049,PID_1197,5637146399,9/13/2018,32,28,POS Purchase,Purchased a product In-Store,Swaziland
LOYID_1049,PID_1198,693,9/19/2018,51,49,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1050,PID_1199,264,6/21/2018,156,47,POS Purchase,Purchased a product In-Store,USA
LOYID_1050,PID_1200,602,2/1/2019,143,49,POS Purchase,Purchased a product In-Store,Belize
LOYID_1050,PID_1201,CMPNTCPUControllerVirtuoso,2/3/2019,189,46,POS Purchase,Purchased a product In-Store,Guadeloupe
LOYID_1050,PID_1202,134,2/5/2019,90,42,POS Purchase,Purchased a product In-Store,France
LOYID_1050,PID_1203,489,2/6/2019,167,44,POS Purchase,Purchased a product In-Store,Rwanda
LOYID_1051,PID_1204,567,5/22/2017,158,27,POS Purchase,Purchased a product In-Store,Saint Vincent and The Grenadines
LOYID_1051,PID_1205,469,10/22/2018,71,34,POS Purchase,Purchased a product In-Store,USA
LOYID_1051,PID_1206,583,12/21/2018,187,38,POS Purchase,Purchased a product In-Store,Saint Lucia
LOYID_1051,PID_1207,P-01025-Q6B9R7,1/4/2019,108,26,POS Purchase,Purchased a product In-Store,South Africa
LOYID_1052,PID_1208,5637146327,8/2/2018,147,23,POS Purchase,Purchased a product In-Store,Guinea-Bissau
LOYID_1052,PID_1209,5637146315,10/19/2018,84,25,POS Purchase,Purchased a product In-Store,Maldives
LOYID_1052,PID_1210,399,2/6/2019,124,45,POS Purchase,Purchased a product In-Store,Peru
LOYID_1052,PID_1211,185,2/6/2019,132,38,POS Purchase,Purchased a product In-Store,USA
LOYID_1052,PID_1212,P-01013-Y3Q7L5,2/6/2019,126,41,POS Purchase,Purchased a product In-Store,Saint Vincent and The Grenadines
LOYID_1053,PID_1213,451,1/29/2018,92,23,POS Purchase,Purchased a product In-Store,USA
LOYID_1053,PID_1214,SharePoint Online (sample),4/29/2018,193,31,POS Purchase,Purchased a product In-Store,Benin
LOYID_1053,PID_1215,234,5/27/2018,138,46,POS Purchase,Purchased a product In-Store,Tonga
LOYID_1053,PID_1216,5637146412,8/26/2018,186,44,POS Purchase,Purchased a product In-Store,Lithuania
LOYID_1054,PID_1217,600,6/29/2018,64,21,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1054,PID_1218,337,10/2/2018,85,37,POS Purchase,Purchased a product In-Store,Turkmenistan
LOYID_1054,PID_1219,368,1/2/2019,189,35,POS Purchase,Purchased a product In-Store,Nicaragua
LOYID_1054,PID_1220,558,1/6/2019,92,26,POS Purchase,Purchased a product In-Store,Luxembourg
LOYID_1054,PID_1221,10,1/22/2019,76,28,POS Purchase,Purchased a product In-Store,Finland
LOYID_1055,PID_1222,215,1/7/2017,139,24,POS Purchase,Purchased a product In-Store,USA
LOYID_1055,PID_1223,164,1/16/2019,91,31,POS Purchase,Purchased a product In-Store,India
LOYID_1055,PID_1224,495,1/20/2019,142,47,POS Purchase,Purchased a product In-Store,Pakistan
LOYID_1055,PID_1225,278,1/20/2019,145,24,POS Purchase,Purchased a product In-Store,Timor-Leste
LOYID_1055,PID_1226,176,1/20/2019,142,28,POS Purchase,Purchased a product In-Store,Oman
LOYID_1056,PID_1227,60,10/24/2018,120,40,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1056,PID_1228,240,11/7/2018,103,41,POS Purchase,Purchased a product In-Store,Afghanistan
LOYID_1056,PID_1229,449,1/28/2019,145,22,POS Purchase,Purchased a product In-Store,France
LOYID_1056,PID_1230,191,1/29/2019,63,31,POS Purchase,Purchased a product In-Store,Tuvalu
LOYID_1057,PID_1231,SVCHRUpgradeTestAssemblyUnit,6/13/2018,64,24,POS Purchase,Purchased a product In-Store,Ecuador
LOYID_1057,PID_1232,205,12/1/2018,167,44,POS Purchase,Purchased a product In-Store,Swaziland
LOYID_1057,PID_1233,SVCHRInspectionRangeOfMotion,2/4/2019,164,38,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1057,PID_1234,244,2/6/2019,36,24,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1058,PID_1235,205,9/8/2017,87,41,POS Purchase,Purchased a product In-Store,Oman
LOYID_1058,PID_1236,252,11/27/2017,30,25,POS Purchase,Purchased a product In-Store,Solomon Islands
LOYID_1058,PID_1237,Exchange Online (sample),1/23/2019,123,33,POS Purchase,Purchased a product In-Store,"Korea, North"
LOYID_1059,PID_1238,3,4/10/2018,64,33,POS Purchase,Purchased a product In-Store,Sierra Leone
LOYID_1059,PID_1239,139,6/13/2018,189,47,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1059,PID_1240,536,7/13/2018,109,46,POS Purchase,Purchased a product In-Store,French Southern Territories
LOYID_1059,PID_1241,342,8/29/2018,145,40,POS Purchase,Purchased a product In-Store,Solomon Islands
LOYID_1060,PID_1242,386,1/2/2018,160,24,POS Purchase,Purchased a product In-Store,Gabon
LOYID_1060,PID_1243,P-01024-R2T5N0,1/22/2019,72,39,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1060,PID_1244,513,1/30/2019,90,33,POS Purchase,Purchased a product In-Store,"Bonaire, Sint Eustatius and Saba"
LOYID_1060,PID_1245,418,2/5/2019,145,36,POS Purchase,Purchased a product In-Store,Moldova
LOYID_1060,PID_1246,5637146409,2/6/2019,102,24,POS Purchase,Purchased a product In-Store,Ethiopia
LOYID_1061,PID_1247,215,2/17/2017,82,45,POS Purchase,Purchased a product In-Store,Macedonia
LOYID_1061,PID_1248,5637146417,5/31/2018,164,28,POS Purchase,Purchased a product In-Store,Russian Federation
LOYID_1061,PID_1249,5637146375,9/3/2018,138,46,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1061,PID_1250,630,9/13/2018,150,40,POS Purchase,Purchased a product In-Store,Antigua and Barbuda
LOYID_1062,PID_1251,521,1/7/2018,177,30,POS Purchase,Purchased a product In-Store,Heard Island and Mcdonald Islands
LOYID_1062,PID_1252,SVCHRInspectionLineIntegration,4/23/2018,69,40,POS Purchase,Purchased a product In-Store,Mozambique
LOYID_1062,PID_1253,CMPNTAutonomousBaseWizard,10/30/2018,95,35,POS Purchase,Purchased a product In-Store,Tonga
LOYID_1062,PID_1254,475,10/31/2018,180,37,POS Purchase,Purchased a product In-Store,United Kingdom (Great Britain)
LOYID_1063,PID_1255,182,8/1/2018,97,27,POS Purchase,Purchased a product In-Store,Poland
LOYID_1063,PID_1256,5637146381,8/27/2018,144,44,POS Purchase,Purchased a product In-Store,France
LOYID_1063,PID_1257,441,12/25/2018,179,21,POS Purchase,Purchased a product In-Store,Yemen
LOYID_1064,PID_1258,5637146333,10/28/2017,132,49,POS Purchase,Purchased a product In-Store,Romania
LOYID_1064,PID_1259,329,10/11/2018,157,46,POS Purchase,Purchased a product In-Store,Kazakhstan
